IND,Plot,Wet Weight,LA,Dry Mass,Trichomes,Serrations
SAMRAC_GR_7B_2,7,2.08,,0.45305,,
ACESPI_WM_1_1,7,0.3167,,0.12182,,
ACESPI_WM_1_2,7,0.7824,,0.30096,,
DIELON_WM_1,7,0.3437,,0.11134,,
DIELON_WM_2,7,0.3557,,0.11206,,
VIBCAS_GR_5_1,8,0.757,,0.22509,,
VIBCAS_GR_5_2,8,0.501,,0.1525,,
SPITOM_GR_1_1,8,0.058,,0.02022,,
SPITOM_GR_1_2,8,0.0205,,0.00799,,
SPIALB_SH_7B_1,8,0.0589,,0.02106,,
SPIALB_SH_7B_2,8,0.06,,0.02092,,
VIBCAS_WM_9B_1,8,0.678,,0.19822,,
VIBCAS_WM_9B_2,8,0.527,,0.15053,,
SPITOM_HF_13_1,8,0.0408,,0.01468,,
SPITOM_HF_13_2,8,0.0453,,0.01559,,
SPIALB_HF_2_1,8,0.0556,,0.02289,,
SPIALB_HF_2_2,8,0.0764,,0.02353,,
VIBCAS_GR_12B_1,8,0.553,,0.15511,,
VIBCAS_GR_12B_2,8,0.921,,0.30923,,
SPITOM_WM_4B_1,8,0.0152,,0.00724,,
SPITOM_WM_4B_2,8,0.0233,,0.01041,,
MYRGAL_SH_2_1,8,0.0527,,0.01521,,
MYRGAL_SH_2_2,8,0.0421,,0.01225,,
SPIALB_GR_3_1,8,0.0718,,0.02102,,
SPIALB_GR_3_2,8,0.0646,,0.01628,,
SPIALB_GR_12B_1,8,0.0697,,0.02265,,
SPIALB_GR_12B_2,8,0.0544,,0.01715,,
SPITOM_WM_5_1,8,0.0495,,0.01604,,
SPITOM_WM_5_2,8,0.0682,,0.02443,,
*SPITOM_GR_2E_1***mislabeld coin envelope,8,0.0473,,0.01721,,
**SPITOM_GR_2E_2,8,0.0345,,0.01878,,
SPITOM_GR_2D_1 - change from C to D!,8,0.0471,,0.01727,,
SPITOM_GR_2D_2 - change from C to D!!,8,0.0323,,0.01189,,
SPIALB_WM_7B_1,8,0.0406,,0.0113,,
SPIALB_WM_7B_2,8,0.0733,,0.02128,,
SPITOM_HF_9B_1,8,0.0236,,0.00754,,
SPITOM_HF_9B_2,8,0.0687,,0.02237,,
SPITOM_GR_2A_1,8,0.014,,0.00512,,
SPITOM_GR_2A_2,8,0.0396,,0.01245,,
SPIALB_GR_5_1,8,0.0654,,0.0252,,
SPIALB_GR_5_2,8,0.0693,,0.02291,,
VIBCAS_SH_5C_1,8,0.667,,0.22732,,
VIBCAS_SH_5C_2,8,0.5224,,0.17918,,
SPIALB_GR_12A_1,8,0.0647,,0.02081,,
SPIALB_GR_12A_2,8,0.0703,,0.02006,,
SPITOM_WM_4A_1,8,0.0191,,0.00751,,
SPITOM_WM_4A_2,8,0.0362,,0.01222,,
SPITOM_GR_2B_1,8,0.0516,,0.01791,,
SPITOM_GR_2B_2,8,0.0553,,0.01182,,
VIBCAS_GR_12A_1,8,0.602,,0.18177,,
VIBCAS_GR_12A_2,8,0.678,,0.20447,,
SPIALB_WM_7A_1,8,0.0976,,0.02739,,
SPIALB_WM_7A_2,8,0.0609,,0.01811,,
VIBCAS_SH_5B_1,8,0.816,,0.23558,,
VIBCAS_SH_5B_2,8,0.646,,0.18911,,
AROMEL_WM_7_1,8,0.115,,0.04289,,
AROMEL_WM_7_2,8,0.272,,0.08542,,
AROMEL_HF_10_1,8,0.1826,,0.06124,,
AROMEL_HF_10_2,8,0.1962,,0.06227,,
MYRGAL_SH_1_1,8,0.046,,0.01438,,
MYRGAL_SH_1_2,8,0.0535,,0.01433,,
SPITOM_HF_9A_1,8,0.0322,,0.01192,,
SPITOM_HF_9A_2,8,0.0606,,0.01877,,
SPIALB_SH_7A_1,8,0.0808,,0.02061,,
SPIALB_SH_7A_2,8,0.0957,,0.02679,,
SPIALB_GR_9_1,8,0.0547,,0.01571,,
SPIALB_GR_9_2,8,0.076,,0.02883,,
MYRGAL_WM_6B_1,8,0.1075,,0.02811,,
MYRGAL_WM_6B_2,8,0.0779,,0.02226,,
SPIALB_HF_3_1,8,0.06994,,0.01884,,
SPIALB_HF_3_2,8,0.08457,,0.02215,,
VIBCAS_WM_9A_1,8,0.5203,,0.16157,,
VIBCAS_WM_9A_2,8,0.6233,,0.18174,,
SPITOM_HF_6A_1,8,0.0253,,0.00961,,
SPITOM_HF_6A_2,8,0.0684,,0.02324,,
VIBCAS_SH_1B_1,8,0.409,,0.11972,,
VIBCAS_SH_1B_2,8,0.771,,0.21859,,
VIBCAS_SH_1A_1,8,0.226,,0.06689,,
VIBCAS_SH_1A_2,8,0.308,,0.09502,,
AROMEL_HF_4_1,8,0.313,,0.10115,,
AROMEL_HF_4_2,8,0.354,,0.11027,,
MYRGAL_WM_6A_1,8,0.0714,,0.02059,,
MYRGAL_WM_6A_2,8,0.06734,,0.01933,,
VIBCAS_SH_5A_1,8,0.6156,,0.19815,,
VIBCAS_SH_5A_2,8,0.5121,,0.16063,,
VIBCAS_WM_4_1,8,0.736,,0.22477,,
VIBCAS_WM_4_2,8,0.75,,0.21347,,
BETALL_SH_9_1,9,0.347,,0.11339,,
BETALL_SH_9_2,9,0.3485,,0.11249,,
BETPOP_WM_7_1,9,0.2911,,0.08594,,
BETPOP_WM_7_2,9,0.3927,,0.11433,,
BETPAP_GR_9_1,9,0.9147,,0.28326,,
BETPAP_GR_9_2,9,0.9111,,0.28649,,
BETALL_WM_8_1,9,0.3041,,0.09173,,
BETALL_WM_8_2,9,0.3831,,0.12197,,
ALNINC_SH_8_1,9,0.5038,,0.16231,,
ALNINC_SH_8_2,9,0.4951,,0.15414,,
BETALL_SH_5_1,9,0.6216,,0.15611,,
BETALL_SH_5_2,9,0.643,,0.16045,,
BETALL_SH_4B_1,9,0.1556,,0.05055,,
BETALL_SH_4B_2,9,0.189,,0.06213,,
BETALL_SH_4A_1,9,0.3162,,0.0855,,
BETALL_SH_4A_2,9,0.32764,,0.08891,,
ALNINC_HF_9_1,9,0.45304,,0.14657,,
ALNINC_HF_9_2,9,0.48234,,0.15289,,
BETPOP_HF_4_1,9,0.21459,,0.0733,,
BETPOP_HF_4_2,9,0.25753,,0.08797,,
SAMRAC_HF_B_1,10,2.751,,0.6001,,
SAMRAC_HF_B_2,10,3.5142,,0.79107,,
SAMRAC_GR_1_1,10,0.47749,,0.12735,,
SAMRAC_GR_1_2,10,0.3829,,0.08512,,
SAMRAC_HF_A_1,10,3.509,,0.65012,,
SAMRAC_HF_A_2,10,2.846,,0.55066,,
SAMRAC_GR_7_1,10,0.8263,,0.20003,,
SAMRAC_GR_7_2,10,0.6923,,0.16546,,
SORAME_SH_3B_1,10,0.7091,,0.25124,,
SORAME_SH_3B_2,10,0.7932,,0.29086,,
DIELON_SH_4A_1,10,0.06525,,0.02752,,
DIELON_SH_4A_2,10,0.27443,,0.09841,,
SORAME_SH_3A_1,10,0.4868,,0.16825,,
SORAME_SH_3A_2,10,0.41151,,0.14049,,
DIELON_HF_1_1,10,0.05389,,0.02088,,
DIELON_HF_1_2,10,0.12278,,0.04753,,
ACESPI_GR_4_1,10,0.28103,,0.09407,,
