"spp","site","ind","plot","year","budburst","leafout","budset","risk","Plot","provenance.lat","provenance.long"
"SAMRAC","HF","B","10",2018,58,124,NA,66,NA,42.531705,-72.18992
"SAMRAC","HF","A","13",2018,58,124,NA,66,NA,42.531705,-72.18992
"SAMRAC","HF","B","13",2018,58,124,277,66,NA,42.531705,-72.18992
"SAMRAC","GR","8","13",2018,58,121,NA,63,NA,44.794942,-71.146683
"SAMRAC","GR","4","10",2018,64,124,NA,60,NA,44.794942,-71.146683
"SAMRAC","GR","2","7",2018,82,121,NA,39,NA,44.794942,-71.146683
"DIELON","WM","1A","13",2018,86,121,NA,35,NA,44.112337,-71.230138
"SAMRAC","HF","C","13",2018,86,124,NA,38,NA,42.531705,-72.18992
"SAMRAC","HF","D","13",2018,86,124,NA,38,NA,42.531705,-72.18992
"SPIALB","GR","12","4",2018,89,121,NA,32,NA,44.794942,-71.146683
"SPIALB","SH","4B","4",2018,89,124,NA,35,NA,45.932675,-74.02507
"SPIALB","GR","12A","8",2018,89,121,NA,32,NA,44.794942,-71.146683
"SPIALB","SH","7B","8",2018,89,121,NA,32,NA,45.932675,-74.02507
"AMECAN","WM","1","2",2018,93,124,NA,31,NA,44.112337,-71.230138
"AMECAN","GR","10A","3",2018,93,124,NA,31,NA,44.794942,-71.146683
"SPITOM","WM","5A","4",2018,93,124,NA,31,NA,44.112337,-71.230138
"SPIALB","SH","9A","4",2018,93,121,NA,28,NA,45.932675,-74.02507
"SPITOM","WM","5B","4",2018,93,124,NA,31,NA,44.112337,-71.230138
"SPIALB","HF","1","4",2018,93,121,NA,28,NA,42.531705,-72.18992
"SPIALB","WM","2B","4",2018,93,124,NA,31,NA,44.112337,-71.230138
"SPITOM","SH","99","4",2018,93,124,NA,31,NA,45.932675,-74.02507
"SPIALB","HF","4A","4",2018,93,124,NA,31,NA,42.531705,-72.18992
"SPIALB","SH","8","4",2018,93,121,NA,28,NA,45.932675,-74.02507
"SPIALB","GR","3","4",2018,93,124,NA,31,NA,44.794942,-71.146683
"SPIALB","SH","4A","4",2018,93,121,NA,28,NA,45.932675,-74.02507
"SPIALB","SH","7","4",2018,93,121,NA,28,NA,45.932675,-74.02507
"SPIALB","GR","7","4",2018,93,124,NA,31,NA,44.794942,-71.146683
"SPIALB","WM","7A","4",2018,93,124,NA,31,NA,44.112337,-71.230138
"SPIALB","HF","8","4",2018,93,124,NA,31,NA,42.531705,-72.18992
"SPITOM","WM","5D","4",2018,93,124,NA,31,NA,44.112337,-71.230138
"SPIALB","SH","1","4",2018,93,124,NA,31,NA,45.932675,-74.02507
"SPIALB","WM","7B","4",2018,93,121,NA,28,NA,44.112337,-71.230138
"SPIALB","SH","9B","4",2018,93,121,NA,28,NA,45.932675,-74.02507
"DIELON","HF","1B","7",2018,93,121,268,28,NA,42.531705,-72.18992
"SPIALB","WM","7A","8",2018,93,121,NA,28,NA,44.112337,-71.230138
"SPITOM","WM","4A","8",2018,93,124,NA,31,NA,44.112337,-71.230138
